Voltage, ChA, Run #2
Time ( s )	Voltage ( V )
0.0000	-0.006
0.1000	-0.006
0.2000	-0.005
0.3000	-0.004
0.4000	-0.005
0.5000	-0.005
0.6000	-0.003
0.7000	-0.003
0.8000	-0.004
0.9000	-0.004
1.0000	-0.002
1.1000	-0.002
1.2000	-0.002
1.3000	-1.223
1.4000	-1.222
1.5000	-1.220
1.6000	-1.218
1.7000	-1.218
1.8000	-1.215
1.9000	-1.213
2.0000	-1.212
2.1000	-1.212
2.2000	-1.210
2.3000	-1.209
2.4000	-1.205
2.5000	-1.204
2.6000	-1.203
2.7000	-1.201
2.8000	-1.201
2.9000	-1.199
3.0000	-1.196
3.1000	-1.195
3.2000	-1.194
3.3000	-1.193
3.4000	-1.191
3.5000	-1.190
3.6000	-1.188
3.7000	-1.185
3.8000	-1.184
3.9000	-1.184
4.0000	-1.184
4.1000	-1.180
4.2000	-1.179
4.3000	-1.179
4.4000	-1.176
4.5000	-1.174
4.6000	-1.173
4.7000	-1.171
4.8000	-1.172
4.9000	-1.169
5.0000	-1.168
5.1000	-1.165
5.2000	-1.165
5.3000	-1.163
5.4000	-1.160
5.5000	-1.159
5.6000	-1.158
5.7000	-1.158
5.8000	-1.156
5.9000	-1.154
6.0000	-1.152
6.1000	-1.151
6.2000	-1.149
6.3000	-1.149
6.4000	-1.146
6.5000	-1.146
6.6000	-1.144
6.7000	-1.143
6.8000	-1.143
6.9000	-1.141
7.0000	-1.140
7.1000	-1.138
7.2000	-1.135
7.3000	-1.134
7.4000	-1.133
7.5000	-1.131
7.6000	-1.130
7.7000	-1.128
7.8000	-1.127
7.9000	-1.126
8.0000	-1.123
8.1000	-1.121
8.2000	-1.121
8.3000	-1.120
8.4000	-1.120
8.5000	-1.119
8.6000	-1.116
8.7000	-1.116
8.8000	-1.114
8.9000	-1.113
9.0000	-1.111
9.1000	-1.110
9.2000	-1.109
9.3000	-1.108
9.4000	-1.107
9.5000	-1.105
9.6000	-1.102
9.7000	-1.102
9.8000	-1.100
9.9000	-1.099
10.0000	-1.097
10.1000	-1.096
10.2000	-1.094
10.3000	-1.094
10.4000	-1.092
10.5000	-1.091
10.6000	-1.090
10.7000	-1.087
10.8000	-1.086
10.9000	-1.085
11.0000	-1.083
11.1000	-1.083
11.2000	-1.082
11.3000	-1.080
11.4000	-1.079
11.5000	-1.078
11.6000	-1.076
11.7000	-1.075
11.8000	-1.073
11.9000	-1.072
12.0000	-1.071
12.1000	-1.068
12.2000	-1.067
12.3000	-1.066
12.4000	-1.065
12.5000	-1.062
12.6000	-1.061
12.7000	-1.060
12.8000	-1.058
12.9000	-1.057
13.0000	-1.056
13.1000	-1.055
13.2000	-1.054
13.3000	-1.052
13.4000	-1.052
13.5000	-1.049
13.6000	-1.047
13.7000	-1.046
13.8000	-1.047
13.9000	-1.046
14.0000	-1.043
14.1000	-1.041
14.2000	-1.041
14.3000	-1.038
14.4000	-1.037
14.5000	-1.035
14.6000	-1.035
14.7000	-1.033
14.8000	-1.032
14.9000	-1.032
15.0000	-1.030
15.1000	-1.029
15.2000	-1.028
15.3000	-1.027
15.4000	-1.024
15.5000	-1.024
15.6000	-1.023
15.7000	-1.023
15.8000	-1.022
15.9000	-1.019
16.0000	-1.018
16.1000	-1.017
16.2000	-1.016
16.3000	-1.013
16.4000	-1.013
16.5000	-1.011
16.6000	-1.008
16.7000	-1.008
16.8000	-1.008
16.9000	-1.007
17.0000	-1.005
17.1000	-1.005
17.2000	-1.003
17.3000	-1.000
17.4000	-0.999
17.5000	-0.999
17.6000	-0.998
17.7000	-0.997
17.8000	-0.997
17.9000	-0.995
18.0000	-0.994
18.1000	-0.994
18.2000	-0.992
18.3000	-0.991
18.4000	-0.991
18.5000	-0.989
18.6000	-0.988
18.7000	-0.985
18.8000	-0.984
18.9000	-0.983
19.0000	-0.981
19.1000	-0.981
19.2000	-0.979
19.3000	-0.977
19.4000	-0.977
19.5000	-0.976
19.6000	-0.975
19.7000	-0.974
19.8000	-0.972
19.9000	-0.969
20.0000	-0.969
20.1000	-0.969
20.2000	-0.968
20.3000	-0.966
20.4000	-0.965
20.5000	-0.964
20.6000	-0.964
20.7000	-0.962
20.8000	-0.959
20.9000	-0.958
21.0000	-0.958
21.1000	-0.956
21.2000	-0.955
21.3000	-0.954
21.4000	-0.955
21.5000	-0.953
21.6000	-0.950
21.7000	-0.950
21.8000	-0.949
21.9000	-0.949
22.0000	-0.947
22.1000	-0.945
22.2000	-0.945
22.3000	-0.944
22.4000	-0.942
22.5000	-0.941
22.6000	-0.939
22.7000	-0.938
22.8000	-0.938
22.9000	-0.938
23.0000	-0.935
23.1000	-0.934
23.2000	-0.933
23.3000	-0.931
23.4000	-0.930
23.5000	-0.930
23.6000	-0.928
23.7000	-0.928
23.8000	-0.925
23.9000	-0.924
24.0000	-0.924
24.1000	-0.923
24.2000	-0.922
24.3000	-0.920
24.4000	-0.920
24.5000	-0.918
24.6000	-0.917
24.7000	-0.916
